a    3 days ago
á    1 month ago
a    1 year ago
abairt    1 year ago
abairtí    1 year ago
ábalta    21 hours ago
abhaile    2 months ago
abhainn    2 months ago
ábhar    1 year ago
ach    21 hours ago
achainí    7 months ago
achar    1 year ago
acht    1 year ago
achtanna    1 year ago
aclaíocht    2 months ago
acu    3 weeks ago
ádh    3 months ago
adhmad    7 months ago
aduaidh    8 months ago
aer    8 months ago
aeráid    7 months ago
aerfort    1 year ago
áfach    1 month ago
afraic    1 year ago
ag    3 weeks ago
agaibh    2 months ago
againn    3 weeks ago
agallaimh    1 year ago
agallamh    1 year ago
agam    yesterday
agat    3 days ago
aghaidh    1 year ago
agus    21 hours ago
aibreáin    1 year ago
aibreán    1 year ago
aici    3 days ago
aidhm    1 year ago
aifreann    1 year ago
aige    yesterday
ailse    1 year ago
aimseartha    2 months ago
aimsím    1 year ago
aimsíonn    1 year ago
aimsir    1 year ago
aimsítear    1 year ago
ainm    1 year ago
ainmhí    1 month ago
ainmhithe    1 year ago
ainmneacha    1 year ago
aintín    1 year ago
aintíní    1 year ago
air    3 weeks ago
aird    6 months ago
airde    1 year ago
aire    1 year ago
airgead    1 year ago
airgeadra    1 year ago
airgid    1 year ago
airgintín    1 year ago
áirithe    8 months ago
ais    21 hours ago
áise    1 year ago
aiste    1 year ago
aistear    1 year ago
aisteoir    1 year ago
aisteoirí    1 year ago
aisti    2 months ago
áit    1 year ago
aithním    1 year ago
aithníonn    1 year ago
aithreacha    1 year ago
áitiúil    1 year ago
áitiúla    1 year ago
álainn    1 year ago
aláram    1 month ago
albain    1 year ago
alcól    1 year ago
alla    1 month ago
alt    1 year ago
altra    1 year ago
am    1 year ago
amach    1 month ago
amaideach    1 year ago
amárach    1 week ago
amháin    1 month ago
amháin    1 year ago
amharc    1 year ago
amharclann    1 year ago
amhráin    1 year ago
amhrán    1 year ago
amstardam    9 months ago
an    21 hours ago
an    yesterday
an    1 month ago
anailís    1 year ago
anailíseoidh    1 year ago
anall    3 months ago
anam    1 year ago
aneas    8 months ago
aniar    8 months ago
aníos    8 months ago
anlann    1 month ago
ann    21 hours ago
anocht    3 weeks ago
anoir    8 months ago
anois    3 weeks ago
